=======================================
SLURM_ARRAY_TASK_ID = 2
YAML_PATH = /om2/user/bjmedina/auditory-memory/memory/model_yamls/all-texture-pca/run_000002.yaml
=======================================
Running config:
  YAML: /om2/user/bjmedina/auditory-memory/memory/model_yamls/all-texture-pca/run_000002.yaml
  Encoder: texture_pca
  Metric: cosine
  Noise: two-regime
[26gq4t5wuq3_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[fz7vsyg6jpk_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[1pv3hj1bfv8_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[5pewrhrtwa7_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[h0179yhnbvx_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[b2oczm0chht_multi.csv] ISI=0 d' = 0.00 (HR=0.80, FAR=0.80)
[g4efr0fcbfa_multi.csv] ISI=0 d' = 1.68 (HR=0.80, FAR=0.20)
[8et65yclumo_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[rctyshnfzj5_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[3bjfagcykk4_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[3ebr40995qu_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[0r9z57j0hs7_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[lxnzrjkpesl_multi.csv] ISI=0 d' = 0.59 (HR=0.40, FAR=0.20)
[f0w1wed0a20_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[t8n6lrrjfdd_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[x8h02ckfqyb_multi.csv] ISI=0 d' = 0.59 (HR=0.80, FAR=0.60)
[oq5e6g58mup_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[9cfknrapzy4_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[0160kd8np7v_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[94d26zfjuym_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[gva8y1cuhcc_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[76x1mh220ar_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[eq3qw5sj6yx_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[kty5qt188hr_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[qu58k71ecl7_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[lxbdvbw9atw_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[v9geb2uhfqt_multi.csv] ISI=0 d' = 0.00 (HR=1.00, FAR=1.00)
[c1blnyoh6sh_multi.csv] ISI=0 d' = 3.97 (HR=0.60, FAR=0.00)
[cgajce1n5c5_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[43mwhbyvg9w_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[jhonos0la9f_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[mrlakf8c7lw_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[h9cvavm07xs_multi.csv] ISI=0 d' = 0.00 (HR=0.40, FAR=0.40)
[lac6urvk603_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[nuy3wjf5o88_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[44tam8omnh7_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[sngdsborygm_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[a1q0rzldwof_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[l7tcwcozyrr_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[ccreakoduuz_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[2qttt9vg54c_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[rgq0wjmn6b5_multi.csv] ISI=0 d' = 0.00 (HR=0.60, FAR=0.60)
[k75pqqktanr_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[0uhklymc6at_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[gul5v9f3fgq_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[oe4s7vyx1z4_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[306c6xnkca0_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[0521c25wfse_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[r3zpok7f0q5_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[6ybqattzc4z_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[0x32vewwbxm_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[r3kxo2usnrg_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[re1mda284ko_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[tkzj4ftmpxn_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[zz4g5vj8wzu_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[cad1enwv7a3_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[8qvbq64mm4b_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[0chd1x7bv72_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[anqeql093dl_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[ksxdm86z9yb_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[o6l39brjr5p_multi.csv] ISI=0 d' = 0.00 (HR=0.80, FAR=0.80)
[0xrwjqyhupm_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[clzflt2fo0d_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[aenqzlbs5uc_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[zccnjg2odj3_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[q8gv37zg85x_multi.csv] ISI=0 d' = 0.00 (HR=1.00, FAR=1.00)
[m6pg4hlhay6_multi.csv] ISI=0 d' = 4.56 (HR=0.80, FAR=0.00)
[xk5a4svfves_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[v1efwfcy0h0_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[v9pmabfbgwq_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[fl68wguhn4r_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[f47s5w9t6t6_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[tlw8b3yma4z_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[grllpehmpnr_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[d0k2mokwxqb_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[zcw15y1ggly_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[tvsotzfu9q3_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[3x4gcnqbrr3_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[7ykj1x61r62_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[1djwydmj0t1_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[klp4qk0hfvg_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[1o3xyqmb7mz_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[fhh6zjb2mbk_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[6dj125c7mjt_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[07dsrnacyjj_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[j32b9so59vw_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[jq3xnlyxap6_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[ywan2ha8x4n_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
