cuda
2008997
[mvodc63bvd7.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[ny45f4le3e2.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[o3w2trah8na.csv] d' = 0.00 (HR=0.60, FAR=0.60)
[mtdlvzq0amu.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[0hzeevb7dat.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[26z6umd832u.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[vk2malrxkl7.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[ynznubwlhws.csv] d' = 1.68 (HR=0.80, FAR=0.20)
[v58dg6z1lkg.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[rl1ny9jy6so.csv] d' = 1.09 (HR=0.80, FAR=0.40)
[nozl0qsnc05.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[vqqvylxyo1o.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[j6pbzc1runz.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[xegxbs3e8nf.csv] d' = 0.59 (HR=0.80, FAR=0.60)
[qeyq974gshb.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[srksk3hjhoh.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[xh9dswnlznp.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[5t9vjqaotfx.csv] d' = 0.59 (HR=0.80, FAR=0.60)
[3ebq5l7hsoe.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[1wbhs2fyz8d.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[2ejx1kqxtn4.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[ecdh7dzj6dm.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[xgzz4pohce6.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[hlcrjw6tzly.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[l0oxqd1742y.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[55njp8kbpdh.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[gsgoh92ql9n.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[pn9dt73a4xc.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[437o7570e4f.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[4jm8oddszxt.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[oyxb7tq5slj.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[v5hf3f47l5n.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[6o0txamaayk.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[76ewf821heq.csv] d' = 1.09 (HR=0.80, FAR=0.40)
[bwbg65gnu3y.csv] d' = 2.88 (HR=1.00, FAR=0.80)
Number of participants used in analysis: 97
Directory already exists: /om2/user/bjmedina/auditory-memory/memory/figures/human-results/isi-16-only/atexts-len120
/om2/user/bjmedina/auditory-memory/memory/figures/human-results/isi-16-only/atexts-len120
[saved] /om2/user/bjmedina/auditory-memory/memory/figures/human-results/isi-16-only/atexts-len120/eval_log_20250829_134007.csv
[saved] /om2/user/bjmedina/auditory-memory/memory/figures/human-results/isi-16-only/atexts-len120/runs_summary_20250829_134007.csv
[saved] /om2/user/bjmedina/auditory-memory/memory/figures/human-results/isi-16-only/atexts-len120/best_overall_20250829_134007.json
[saved] /om2/user/bjmedina/auditory-memory/memory/figures/human-results/isi-16-only/atexts-len120/marginal_noise_variance_20250829_134007.csv
[saved] /om2/user/bjmedina/auditory-memory/memory/figures/human-results/isi-16-only/atexts-len120/marginal_criterion_20250829_134007.csv
BEST: {'x': [0.36976926580110914, 61.80281803987533], 'mse': 0.005142154922072794, 'run': 2}
